CBSA,CBSANAME,Number_of_Tracts,exposure,MV_est54,MV_est51912,MV_est712,MV_est722,MV_est447,W1110_meancommute_E,W1110_carpooled_P,W1110_pubtrans_P,total_tract_pop,black_pop,med_list_sqft2012_2016,med_list_price2012_2016,school_quality,WI_weighted
12980,"Battle Creek, MI",4,"B20_50",15.127,.706829,1.23221,19.2055,6.06323,18.453438,16.183203,1.1140492,2197.1614,812.7606,,72344.36,.187642,7.8457565
12980,"Battle Creek, MI",2,"Major",19.8347,1,1.92943,23.1996,4.56452,18.722281,22.686118,1.5963802,3217.2492,1704.77,,50496.48,.0957712,7.7462637
13140,"Beaumont-Port Arthur, TX",23,"Less1",17.7875,.041349,.360924,26.1018,10.5287,24.884912,9.6294693,.13920065,4774.3372,13.58284,76.14946,170627.7,.7678089,5.5843026
13140,"Beaumont-Port Arthur, TX",14,"B1_5",13.5253,0,.155147,16.9188,7.66841,23.109054,7.272452,.09548191,5551.1424,154.4046,79.73405,150767.4,.7950231,6.4556346
13140,"Beaumont-Port Arthur, TX",1,"B5_10",48,0,1,61,21,23.1,7.1,0,3260,228.2,,,.5138786,6.7702944
13140,"Beaumont-Port Arthur, TX",14,"B10_20",34.9598,0,.561961,42.3702,13.731,22.151531,7.3513191,.14710327,4937.1883,754.1726,82.15346,148757.9,.6615205,7.2332707
13140,"Beaumont-Port Arthur, TX",35,"B20_50",39.6057,.039127,1.00104,38.924,11.4059,21.186505,6.7126289,.52191984,4346.9468,1439.333,86.09954,139418.8,.6407216,7.1190506
13140,"Beaumont-Port Arthur, TX",21,"Major",30.1442,0,.774605,28.169,12.7457,18.814543,7.2494947,1.4494703,3684.9757,2484.388,82.23034,106133.2,.5609319,7.7174938
13820,"Birmingham-Hoover, AL",17,"Less1",30.695,.054859,.296035,18.6437,5.90956,30.491827,8.7804244,.35773489,4877.572,15.14163,107.441,226639.4,.4978881,5.1506208
13820,"Birmingham-Hoover, AL",36,"B1_5",61.9884,.072429,.420459,37.2362,7.57383,27.051642,7.9064266,.21568626,5679.6929,146.4836,115.1649,254286.6,.5626917,6.9203629
13820,"Birmingham-Hoover, AL",43,"B5_10",69.5185,.154655,.556763,42.4594,9.18161,27.877758,9.0905641,.12431727,5646.6518,404.8922,113.1404,225193.2,.5435187,6.8165853
13820,"Birmingham-Hoover, AL",48,"B10_20",58.808,.086287,.366722,36.5872,10.6243,27.404,8.0243769,.17335245,6227.5659,888.1425,108.1122,203572.7,.4789184,6.7792144
13820,"Birmingham-Hoover, AL",39,"B20_50",50.7518,.01988,.373427,39.8641,12.3676,25.196095,9.687701,.49414478,5311.2728,1762.49,95.52515,162293.5,.3963251,7.8969895
13820,"Birmingham-Hoover, AL",80,"Major",29.3209,.030924,.35779,28.272,13.0633,23.314616,12.360065,2.2352914,4004.1915,3036.084,58.41531,93551,.1891756,11.702311
14460,"Boston-Cambridge-Newton, MA-NH",285,"Less1",67.5875,.164587,.935769,46.3761,5.53241,31.687763,6.4114767,6.6184338,5479.9417,16.77851,246.6371,463982.1,.6933511,9.3426056
14460,"Boston-Cambridge-Newton, MA-NH",386,"B1_5",92.1723,.242077,1.14624,66.4788,6.9901,29.637536,7.2437398,11.522792,5378.443,133.3017,279.0249,468911.9,.6588776,12.273995
14460,"Boston-Cambridge-Newton, MA-NH",132,"B5_10",108.391,.212,1.26096,81.4027,7.9362,29.717029,7.3707462,15.245285,5482.9758,375.472,319.8172,427730.2,.6116078,13.692504
14460,"Boston-Cambridge-Newton, MA-NH",91,"B10_20",72.7639,.173747,.897793,74.4218,7.32198,30.730452,8.2795612,20.824668,4819.3351,658.0356,293.4421,361280.9,.5685942,14.952647
14460,"Boston-Cambridge-Newton, MA-NH",63,"B20_50",58.1826,.076058,.633971,64.2997,9.48097,31.953464,8.5820743,22.692286,5109.0845,1670.646,288.201,298606.1,.4977251,14.131812
14460,"Boston-Cambridge-Newton, MA-NH",39,"Major",33.8923,0,.703151,49.435,7.8907,34.708246,9.1842755,31.922788,4951.1515,3161.77,207.8161,309716.4,.4132363,14.554034
14860,"Bridgeport-Stamford-Norwalk, CT",54,"Less1",98.6518,.488681,1.17786,59.1319,6.85184,35.508147,4.8549116,12.109514,4846.5648,16.67705,318.3602,907344.3,.6989859,7.1940124
14860,"Bridgeport-Stamford-Norwalk, CT",59,"B1_5",97.5261,.299293,1.37989,65.2372,7.94938,31.413451,6.7517126,9.2672811,4940.3452,119.6435,283.604,823436.6,.5918739,7.7453721
14860,"Bridgeport-Stamford-Norwalk, CT",27,"B5_10",107.251,.234222,.814557,83.4556,11.6535,27.327502,9.2270878,7.1891349,5916.0254,421.2758,242.7706,559418.5,.430097,9.7053762
14860,"Bridgeport-Stamford-Norwalk, CT",20,"B10_20",103.492,.151329,.678433,78.3366,7.75154,26.365685,9.7447075,11.04693,5569.8873,859.2939,235.1528,357243.8,.3913392,10.483519
14860,"Bridgeport-Stamford-Norwalk, CT",48,"B20_50",70.5988,.105867,1.14555,65.1824,6.7503,26.066465,11.837151,12.728326,4427.1459,1440.594,178.765,276827.3,.2973206,10.218515
14860,"Bridgeport-Stamford-Norwalk, CT",2,"Major",24.0221,0,0,40.0616,4.75987,28.218327,12.597791,14.173778,4915.9521,2672.847,107.666,142481.2,.1818476,6.3507533
15260,"Brunswick, GA",3,"Less1",62.904,0,0,38.8749,4.73195,25.21397,9.0505333,.46899504,5642.4652,35.88182,186.465,380900.5,.5153333,5.8933948
15260,"Brunswick, GA",4,"B1_5",31.8174,0,.75123,42.0301,4.95008,24.538618,6.8847037,2.0295666,5645.4597,223.6032,371.4773,1320119,.522764,5.5254213
15260,"Brunswick, GA",2,"B5_10",13.5785,0,0,21.1893,6.73781,21.593694,8.7122085,0,8117.7508,690.7912,161.2289,196631.8,.442911,5.8554816
15260,"Brunswick, GA",3,"B10_20",33.1343,0,0,46.208,11.8477,20.296061,8.7051836,.15810619,9328.0795,1520.787,91.55087,177977.7,.3667231,6.8758098
15260,"Brunswick, GA",5,"B20_50",27.4302,0,0,28.4953,8.85811,24.050785,13.631414,0,4490.4613,1644.846,109.0888,227351.4,.3374279,5.7725665
15260,"Brunswick, GA",4,"Major",81.8514,0,0,64.4397,14.9332,16.970334,11.853187,1.3212097,5569.7454,3353.525,71.54185,163588.8,.2939938,8.6977532
15380,"Buffalo-Cheektowaga-Niagara Falls, NY",83,"Less1",32.5357,.198076,.525208,39.9557,6.07191,22.879509,6.9278131,.56659246,4904.0391,13.2797,106.0365,187170.8,.4680786,8.9137195
15380,"Buffalo-Cheektowaga-Niagara Falls, NY",86,"B1_5",77.4839,.217306,.40644,73.3444,7.25417,21.126823,7.351743,1.0216787,5001.4835,121.8949,100.3875,168557,.4608066,10.477164
15380,"Buffalo-Cheektowaga-Niagara Falls, NY",36,"B5_10",53.503,.316326,.87743,68.2579,8.78321,19.859917,7.6200043,2.943466,4565.2751,326.968,87.00966,118425.9,.2860335,12.658027
15380,"Buffalo-Cheektowaga-Niagara Falls, NY",28,"B10_20",47.59,.124134,.806939,56.4556,5.86588,19.817193,9.772248,9.8109306,3802.4608,511.8659,85.58893,99330.84,.2463534,13.161479
15380,"Buffalo-Cheektowaga-Niagara Falls, NY",34,"B20_50",35.5552,.134522,1.23926,44.3787,4.94922,19.856235,9.5870453,10.679643,3304.5845,955.4258,73.13697,84823.61,.2466868,13.972561
15380,"Buffalo-Cheektowaga-Niagara Falls, NY",29,"Major",22.4256,.046912,.73682,27.0323,5.15091,21.578935,13.114025,17.336157,3521.0356,2808.33,40.30136,47756.51,.2022512,13.635091
15500,"Burlington, NC",1,"Less1",80.3222,0,1,142.422,22.5556,21.4,7.5,0,3070,12.28,89.55989,,.4524236,8.3691605
15500,"Burlington, NC",5,"B1_5",17.5515,0,.837924,25.9655,5.9597,28.087651,6.9051472,0,3475.7023,70.58178,86.67494,151576.8,.4809913,4.6778101
15500,"Burlington, NC",8,"B5_10",35.018,0,.687313,42.1096,10.2132,23.114888,8.2922957,.00933442,5194.991,431.0721,92.1104,152362.3,.5271047,5.4847244
15500,"Burlington, NC",9,"B10_20",46.1608,0,1,69.6553,14.5114,23.645057,8.3087807,.03825516,3767.5199,467.6032,92.62984,164270.5,.4271513,7.0624309
15500,"Burlington, NC",12,"B20_50",37.3137,0,.866187,64.4383,16.9052,22.625588,12.647901,.44482217,5258.0434,1579.046,85.04501,167054.2,.3345723,7.5706816
15500,"Burlington, NC",1,"Major",13,0,0,32,18,20.2,17.8,2,6861,3910.77,71.30843,,.2864751,5.8986232
15940,"Canton-Massillon, OH",30,"Less1",24.1108,0,.867323,27.8344,4.34976,24.382802,7.1517593,.38703571,4714.6969,17.24332,89.29844,140250.3,.6717538,6.3152847
15940,"Canton-Massillon, OH",26,"B1_5",55.9348,0,1.37419,60.8465,7.89002,22.436991,7.3299394,.54230889,5458.6433,144.2719,87.606,137954.4,.6958801,7.2845304
15940,"Canton-Massillon, OH",16,"B5_10",33.2746,0,.930298,43.8668,7.58926,19.440993,9.0965518,1.4022709,4765.0857,350.3369,76.64145,116787.5,.5567206,8.56149
15940,"Canton-Massillon, OH",8,"B10_20",26.1071,0,.422461,39.2094,6.56374,20.996666,9.687858,2.7221209,5404.847,722.2653,71.62055,104394.4,.5066769,9.0396637
15940,"Canton-Massillon, OH",11,"B20_50",21.0225,.510249,.884388,26.2132,4.93271,20.596207,13.386398,4.9663124,3458.2416,937.5128,70.0379,103189,.3732021,10.444414
15940,"Canton-Massillon, OH",2,"Major",6.28385,0,0,13.5577,4.70955,24.074272,13.405798,6.6143063,3469.8269,2021.981,,,.2166751,9.3062706
15980,"Cape Coral-Fort Myers, FL",57,"Less1",91.6105,.029637,.517103,51.1134,6.51932,24.681957,6.1326916,.45640447,3602.9319,10.3954,173.5062,283456.3,.5934433,8.7437042
15980,"Cape Coral-Fort Myers, FL",49,"B1_5",97.7057,.011099,.416945,49.4094,7.53904,26.291394,8.0044101,.59795624,6834.8905,184.9443,127.6112,218946.8,.5948769,9.266883
15980,"Cape Coral-Fort Myers, FL",16,"B5_10",65.9821,.0897,.430463,41.1097,7.4733,27.662231,12.244545,.56869206,5877.0948,364.0266,116.7221,213964.6,.496583,10.67593
15980,"Cape Coral-Fort Myers, FL",25,"B10_20",52.9031,.078357,.155434,35.466,6.54304,30.921173,12.965516,1.7571233,5728.2177,816.0963,89.06429,153928,.4675594,9.4929609
15980,"Cape Coral-Fort Myers, FL",15,"B20_50",33.0474,0,.093178,18.8937,3.52769,30.75701,13.189561,1.2014296,5914.1178,1621.163,88.66976,151713.4,.5031704,8.1034167
15980,"Cape Coral-Fort Myers, FL",3,"Major",71.5729,0,.214966,36.6925,5.50476,23.695346,15.985244,4.6769987,3651.7674,2999.49,149.2067,230629.2,.3527212,14.264525
16020,"Cape Girardeau, MO-IL",7,"Less1",24.628,0,.872896,13.785,3.58542,28.75786,13.417698,.18177939,4443.3521,13.11099,83.43438,147423,.4935182,4.3225576
16020,"Cape Girardeau, MO-IL",4,"B1_5",57.3124,0,.755507,50.6757,15.3535,17.772771,8.8987411,.53392342,7960.8421,263.371,88.10493,159645,.5559432,7.3600826
16020,"Cape Girardeau, MO-IL",2,"B5_10",72.5295,0,1,76.1228,14.7496,16.128908,6.9106667,.21029787,4094.6139,250.4018,81.60349,137187,.4312925,7.1634508
16020,"Cape Girardeau, MO-IL",5,"B10_20",53.1718,.096176,.872895,55.1116,10.9748,17.443569,10.504766,.42566833,4457.1943,579.6797,77.77882,127706.7,.388439,7.8230676
16020,"Cape Girardeau, MO-IL",2,"B20_50",59.2818,0,.465195,59.4686,11.7216,16.760781,15.689304,.89303905,2959.2699,686.7821,70.79761,110402.1,.4983941,8.1397163
16020,"Cape Girardeau, MO-IL",3,"Major",21.6102,0,.562888,19.2989,5.18556,21.208094,6.7066188,3.1726126,1802.8653,1051.3,57.51685,77482.66,.2486224,8.3553621
16580,"Champaign-Urbana, IL",12,"Less1",8.62078,.038879,.09196,7.73641,2.26139,23.012276,9.0594242,.52470482,4906.3584,10.35481,113.0257,165786.5,.4599343,6.2463425
16580,"Champaign-Urbana, IL",13,"B1_5",51.7115,0,.706226,67.3911,6.35806,18.54527,7.3394135,4.6977446,5530.9138,176.7612,105.8075,160491.1,.3039256,10.829017
16580,"Champaign-Urbana, IL",8,"B5_10",56.2731,0,.765903,69.0489,7.04351,14.705103,6.6448552,9.5447023,5229.9484,371.7032,102.0137,164745.5,.3477656,13.013291
16580,"Champaign-Urbana, IL",9,"B10_20",48.8372,0,.414647,58.9432,7.26311,18.275964,9.6303538,4.8792249,5003.8157,773.4384,100.6137,125443.4,.2226267,12.658175
